sample,label
ENST00000536684_____2|415|same,0
NR_146144_____1|9381|diff,1
NR_146117_____1|4909|same,0
NR_046235_____3|10724|same,0
ENST00000544983_____1|127|same,0
NR_146151_____1|4883|same,0
NR_145822_____1|1486|diff,1
ENST00000600213_____3|415|same,0
NR_146151_____1|8254|same,0
NR_146118_____1|2890|diff,1
NR_046235_____3|9414|diff,1
enhancer__chr1___173867016____173868416_neg|672|same,0
ENST00000600213_____3|237|same,0
NR_146151_____1|9375|diff,1
NR_146118_____1|4038|same,0
NR_046235_____3|11955|same,0
G087360__chrM___9934____14148_neg|2321|same,0
NR_146146_____1|133|diff,1
NR_146117_____1|11970|same,0
NR_146144_____1|11916|same,0
NR_146148_____1|187|same,0
NR_146148_____1|3580|same,0
NR_146148_____1|4016|same,0
NR_146151_____1|8075|same,0
NR_146154_____1|1639|diff,1
NR_146154_____1|4016|same,0
NR_145819_____1|11512|same,0
NR_145822_____1|4028|same,0
NR_146117_____1|11532|same,0
NR_146118_____1|3600|same,0
NR_046235_____3|8109|same,0
NR_146144_____1|11556|same,0
NR_146148_____1|3665|same,0
NR_146151_____1|11907|same,0
NR_145822_____1|1746|diff,1
NR_146117_____1|11618|same,0
NR_046235_____3|11601|same,0
NR_003287_____4|184|same,0
NR_145819_____1|8108|same,0
NR_145822_____1|1649|diff,1
NR_145822_____1|3678|same,0
NR_146119_____1|1008|diff,1
NR_003287_____4|3681|same,0
NR_146154_____1|184|same,0
NR_146154_____1|3667|same,0
NR_145822_____1|184|same,0
NR_145819_____1|9576|diff,1
NR_145819_____1|11601|same,0
NR_146118_____1|1500|diff,1
NR_003286_____4|1010|diff,1
NR_046235_____3|9670|diff,1
NR_146148_____1|1497|diff,1
NR_146152_____1|1012|diff,1
NR_146154_____1|3215|diff,1
NR_145819_____1|11154|diff,1
NR_003287_____4|3230|diff,1
ENST00000514318_____1|245|same,0
NR_145819_____1|5127|same,0
NR_046235_____3|4664|same,0
G087360__chrM___131____1617_neg|1325|same,0
G087360__chrM___9934____14148_neg|1187|same,0
NR_145819_____1|9674|diff,1
NR_145822_____1|3233|diff,1
ENST00000602398_____2|3036|same,0
ENST00000361381_____2|1156|diff,1
NR_146144_____1|5116|same,0
NR_146151_____1|5113|same,0
NR_146118_____1|195|diff,1
NR_146118_____1|3231|diff,1
NR_146144_____1|11121|diff,1
NR_146144_____1|12909|diff,1
NR_146148_____1|4254|same,0
NR_146151_____1|12901|same,0
NR_146154_____1|4252|same,0
NR_145819_____1|12145|same,0
NR_145819_____1|12945|diff,1
NR_146117_____1|5142|same,0
NR_146117_____1|12963|diff,1
NR_146118_____1|4240|same,0
NR_046235_____3|12949|same,0
ENST00000554988_____1|571|same,0
ENST00000379731_____4|3654|diff,1
G087360__chrM___9934____14148_neg|1631|same,0
NR_146117_____1|12421|diff,1
ENST00000554988_____1|274|same,0
ENST00000361739_____1|575|same,0
G087360__chrM___131____1617_neg|1209|same,0
enhancer__chr16___69357295____69360495_pos|1402|same,0
enhancer__chr2___226714996____226724796_pos|7289|diff,1
