sample,label
NR_145819_____1|10776|same,0
NR_146144_____1|10748|same,0
NR_146152_____1|103|same,0
NR_146154_____1|1910|same,0
NR_145819_____1|7151|diff,1
NR_146117_____1|11524|diff,1
NR_146144_____1|3914|diff,1
NR_146146_____1|1502|diff,1
NR_146151_____1|3902|diff,1
NR_146152_____1|271|diff,1
NR_145819_____1|5159|diff,1
NR_146117_____1|5163|diff,1
NR_146117_____1|10786|same,0
NR_046235_____3|5159|diff,1
NR_003287_____4|2857|same,0
NR_146151_____1|5397|diff,1
NR_145819_____1|5419|diff,1
NR_146117_____1|5424|diff,1
NR_146144_____1|5382|same,0
NR_146144_____1|12309|same,0
NR_146148_____1|3203|same,0
NR_146151_____1|11465|diff,1
NR_146151_____1|12300|same,0
NR_146146_____1|271|diff,1
NR_146146_____1|1767|diff,1
NR_046235_____3|11514|diff,1
NR_003286_____4|271|diff,1
NR_145819_____1|12344|same,0
NR_146117_____1|4050|same,0
NR_145822_____1|4027|same,0
NR_146151_____1|8819|diff,1
NR_146151_____1|11809|same,0
NR_146151_____1|12088|same,0
NR_003287_____4|4031|same,0
NR_146144_____1|12097|same,0
NR_146148_____1|4016|same,0
NR_145819_____1|4613|same,0
NR_145819_____1|11951|same,0
NR_146117_____1|4325|same,0
NR_146154_____1|912|same,0
NR_145819_____1|9422|diff,1
ENST00000604646_____1|1361|same,0
ENST00000536684_____2|950|diff,1
NR_046235_____3|12140|same,0
NR_003287_____4|2074|same,0
NR_146151_____1|12530|diff,1
NR_145819_____1|11854|same,0
ENST00000361390_____2|215|diff,1
NR_146144_____1|12540|diff,1
NR_145822_____1|4652|diff,1
NR_146117_____1|12592|diff,1
NR_146144_____1|4599|same,0
NR_046235_____3|8866|diff,1
NR_003287_____4|4656|diff,1
NR_146117_____1|12149|same,0
NR_046235_____3|12581|diff,1
ENST00000565336_____1|395|same,0
ENST00000540040_____2|1373|same,0
G087360__chrM___14742____15537_neg|227|same,0
promoter__chr17___8176032____8187032_pos|10816|same,0
NR_146154_____1|4198|same,0
NR_046235_____3|4609|same,0
ENST00000554988_____1|274|same,0
ENST00000361789_____2|86|diff,1
NR_146144_____1|423|same,0
NR_146144_____1|4896|same,0
NR_146144_____1|12908|same,0
NR_146151_____1|423|same,0
NR_146151_____1|12900|same,0
NR_145819_____1|12141|same,0
NR_145819_____1|12944|same,0
NR_146117_____1|423|same,0
NR_146117_____1|12962|same,0
NR_046235_____3|423|same,0
NR_046235_____3|12948|same,0
NR_003287_____4|2237|same,0
NR_003287_____4|4221|diff,1
ENST00000554988_____1|571|same,0
ENST00000361390_____2|365|same,0
G069974__chr6___26730213____26743593_pos|393|same,0
G087360__chrM___9934____14148_neg|611|same,0
NR_146144_____1|9218|same,0
NR_146154_____1|4641|diff,1
NR_145822_____1|2235|same,0
NR_046235_____3|4674|same,0
ENST00000586231_____1|1347|same,0
ENST00000514318_____1|266|same,0
T343480|9218|same,0
G034943__chr17___53070787____53121704_neg|15344|same,0
promoter__chr6___27097263____27098863_pos|37|same,0
promoter__chr6___27575863____27577263_pos|244|same,0
enhancer__chr14___32484892____32486692_neg|1572|same,0
enhancer__chr2___25244123____25245923_neg|775|same,0
NR_146144_____1|3599|same,0
NR_146148_____1|1319|same,0
NR_146151_____1|9206|same,0
NR_146154_____1|1305|same,0
NR_145819_____1|9248|same,0
NR_145819_____1|12577|diff,1
NR_146118_____1|1315|same,0
ENST00000361390_____2|566|same,0
enhancer__chr14___95523357____95535557_neg|1927|same,0
enhancer__chr17___8119832____8122032_neg|1632|same,0
NR_146144_____1|6664|same,0
NR_146144_____1|7893|same,0
NR_146148_____1|2071|same,0
NR_146148_____1|4208|diff,1
NR_146151_____1|7884|same,0
NR_145819_____1|7917|same,0
NR_145822_____1|1325|same,0
NR_146117_____1|7924|same,0
NR_146117_____1|9256|same,0
NR_046235_____3|3610|same,0
NR_046235_____3|7917|same,0
NR_046235_____3|9249|same,0
NR_003287_____4|1325|same,0
ENST00000361739_____1|465|diff,1
T059327|2807|same,0
G033992__chr17___2128649____2192657_pos|60292|same,0
promoter__chr1___16859531____16861731_pos|706|same,0
promoter__chr13___26272263____26274663_pos|207|same,0
promoter__chr4___82892599____82895999_neg|104|same,0
enhancer__chr8___128025790____128027590_pos|1662|same,0
enhancer__chr11___62853176____62855776_neg|1828|same,0
NR_146144_____1|9706|same,0
NR_146151_____1|1454|same,0
NR_146151_____1|6653|same,0
NR_145819_____1|4437|same,0
NR_145819_____1|6682|same,0
NR_145822_____1|1811|same,0
NR_146117_____1|6685|same,0
NR_146117_____1|9737|same,0
NR_146118_____1|925|same,0
ENST00000401282_____3|24|same,0
ENST00000499525_____1|505|same,0
ENST00000565907_____1|306|same,0
ENST00000361789_____2|679|same,0
ENST00000361567_____2|899|same,0
T253867|4878|same,0
G033557__chr17___22525330____22528852_neg|1773|same,0
promoter__chr16___3183598____3185398_neg|1187|same,0
enhancer__chr13___44916465____44918865_neg|861|same,0
enhancer__chr5___181185388____181190188_neg|1255|same,0
NR_146151_____1|3590|same,0
NR_146151_____1|12190|diff,1
NR_146154_____1|2311|diff,1
NR_046235_____3|6683|same,0
ENST00000361681_____2|432|diff,1
ENST00000361624_____2|1353|same,0
ENST00000361899_____2|178|diff,1
G033992__chr17___8100551____8128648_pos|20367|same,0
G033992__chr17___8100551____8128648_pos|25188|same,0
G041621__chr19___33251079____33270810_neg|13255|same,0
promoter__chr16___22297077____22303077_pos|56|same,0
enhancer__chr11___66344977____66366577_pos|3138|same,0
enhancer__chr9___137640506____137644306_pos|597|same,0
NR_146154_____1|2077|diff,1
NR_145819_____1|9116|same,0
NR_046235_____3|9121|same,0
NR_046235_____3|12239|diff,1
ENST00000366365_____2|236|same,0
ENST00000497519_____1|730|same,0
G033992__chr17___22520709____22523110_pos|1401|same,0
promoter__chr6___27575863____27577263_pos|200|same,0
promoter__chr11___68452380____68460580_neg|354|same,0
promoter__chr12___97871160____97877960_neg|1797|same,0
promoter__chr8___38290568____38290968_neg|145|same,0
enhancer__chr11___62853176____62855776_neg|2409|same,0
Tigger4b__chr16___50328791____50329101_neg|68|same,0
NR_146144_____1|10382|same,0
NR_146146_____1|782|same,0
NR_146151_____1|5161|diff,1
NR_146117_____1|4402|same,0
NR_146119_____1|1530|diff,1
NR_046235_____3|10620|same,0
ENST00000568314_____1|534|same,0
ENST00000361624_____2|537|same,0
ENST00000361390_____2|327|same,0
G004418__chr1___145148375____145169518_pos|12724|same,0
G066586__chr5___86362259____86380595_neg|7702|same,0
promoter__chr7___148941042____148941642_pos|445|same,0
promoter__chr6___28757465____28759465_neg|1025|same,0
enhancer__chr16___70787695____70789095_pos|991|same,0
NR_146146_____1|745|same,0
NR_146151_____1|10577|same,0
NR_145822_____1|2699|same,0
NR_146118_____1|2700|same,0
NR_046235_____3|4399|same,0
NR_003287_____4|2698|same,0
ENST00000623726_____1|6715|same,0
ENST00000361681_____2|97|same,0
G087360__chrM___9934____14148_neg|2479|same,0
promoter__chr16___3171597____3174397_pos|442|same,0
enhancer__chr2___226714996____226724796_pos|7346|same,0
enhancer__chr6___31836265____31842465_pos|1203|same,0
enhancer__chr9___126431079____126435679_pos|3801|same,0
enhancer__chr1___16677931____16680731_neg|2384|same,0
enhancer__chr11___13322701____13328501_neg|2213|same,0
enhancer__chr13___44916465____44918865_neg|905|same,0
enhancer__chr2___88229451____88230451_neg|787|same,0
enhancer__chr7___26186530____26194730_neg|2810|same,0
NR_146144_____1|10591|same,0
NR_146117_____1|4440|same,0
NR_146117_____1|10628|same,0
NR_146118_____1|2492|same,0
NR_003287_____4|2493|same,0
ENST00000610159_____1|645|same,0
T110092|2109|diff,1
G033992__chr17___31543332____31560131_pos|6813|same,0
G087360__chrM___9934____14148_neg|575|diff,1
promoter__chr6___27279863____27282063_neg|1715|same,0
enhancer__chr12___8915070____8920870_pos|2831|same,0
enhancer__chr4___169004899____169005499_pos|349|same,0
enhancer__chr1___109314132____109315932_neg|1441|same,0
NR_146144_____1|2889|same,0
NR_146144_____1|12447|same,0
NR_146154_____1|2481|same,0
NR_146117_____1|6273|diff,1
NR_146117_____1|10688|same,0
ENST00000623969_____1|3265|diff,1
ENST00000361899_____2|240|diff,1
G004492__chr1___147052481____147079745_pos|20815|same,0
G004258__chr1___147052481____147079745_pos|20815|same,0
G004418__chr1___147052481____147079745_pos|20815|same,0
G004258__chr1___148279544____148286961_pos|1892|same,0
G004492__chr1___148279544____148286961_pos|1892|same,0
G004418__chr1___148279544____148286961_pos|1892|same,0
G004397__chr1___148279544____148286961_pos|1892|same,0
G087360__chrM___131____1617_neg|1269|diff,1
promoter__chr6___27558863____27565863_pos|3316|same,0
promoter__chr7___138414375____138415575_pos|1104|same,0
enhancer__chr1___23687136____23695536_pos|6062|same,0
enhancer__chr16___14853741____14853941_pos|68|same,0
enhancer__chr21___44321620____44324220_pos|2505|same,0
enhancer__chr6___27649863____27655663_neg|4751|diff,1
enhancer__chr9___35657203____35663203_neg|5183|same,0
MER57____int__chr1___160925971____160926495_neg|437|same,0
NR_146144_____1|3530|diff,1
NR_146146_____1|167|same,0
NR_146148_____1|2691|same,0
NR_146154_____1|2688|same,0
NR_145819_____1|10626|same,0
NR_046235_____3|2889|same,0
ENST00000562904_____1|1014|same,0
ENST00000455918_____1|555|diff,1
G053291__chr22___27663180____27675048_neg|8247|same,0
enhancer__chr2___172469180____172472180_pos|2090|same,0
enhancer__chr5___181171588____181175588_neg|1454|same,0
enhancer__chr6___13572010____13574810_neg|882|same,0
NR_145819_____1|4071|diff,1
NR_145819_____1|6269|diff,1
NR_046235_____3|3542|diff,1
ENST00000600213_____3|231|diff,1
promoter__chr6___28708065____28710665_pos|2519|same,0
enhancer__chr1___40999554____41002754_pos|581|same,0
enhancer__chr15___72226551____72233151_neg|1974|diff,1
enhancer__chr2___127798286____127800886_neg|1888|same,0
NR_146151_____1|6325|diff,1
NR_145820_____1|656|same,0
NR_046235_____3|4073|diff,1
NR_003287_____4|831|same,0
ENST00000568314_____1|461|same,0
ENST00000536684_____2|416|same,0
ENST00000600213_____3|416|same,0
T199681|485|same,0
T270476|4588|same,0
G087360__chrM___14742____15537_neg|193|diff,1
enhancer__chr4___153292548____153295948_pos|955|same,0
enhancer__chr9___14431202____14435402_neg|1390|same,0
NR_146144_____1|12208|diff,1
NR_146151_____1|2248|same,0
NR_146117_____1|974|diff,1
NR_146119_____1|660|same,0
NR_003287_____4|3342|same,0
ENST00000315707_____3|602|same,0
ENST00000563103_____1|147|same,0
ENST00000563151_____1|1256|diff,1
enhancer__chr1___173867016____173868416_neg|709|diff,1
