sample,label
NR_003287_____4|1485|same,0
enhancer__chr1___173867016____173868416_neg|673|same,0
ENST00000544983_____1|127|same,0
NR_146146_____1|1420|same,0
enhancer__chr11___62853176____62855776_neg|1808|same,0
ENST00000429798_____1|57|same,0
NR_146151_____1|11905|same,0
NR_146117_____1|11967|same,0
NR_146118_____1|4030|same,0
NR_046235_____3|11953|same,0
NR_003287_____4|4029|same,0
NR_145822_____1|1493|diff,1
NR_146144_____1|11916|same,0
NR_146154_____1|4016|same,0
NR_145819_____1|11952|same,0
NR_145822_____1|4028|same,0
ENST00000361567_____2|170|diff,1
NR_146148_____1|4017|same,0
ENST00000604952_____1|1290|diff,1
NR_146117_____1|12148|same,0
NR_146146_____1|1007|diff,1
NR_146148_____1|3662|same,0
NR_145822_____1|3674|same,0
NR_146117_____1|11615|same,0
NR_046235_____3|11599|same,0
NR_003287_____4|3678|same,0
ENST00000622954_____1|1657|same,0
NR_146144_____1|11113|diff,1
NR_003287_____4|3225|diff,1
ENST00000624919_____1|11292|same,0
enhancer__chr5___136079113____136082913_neg|2364|diff,1
NR_146154_____1|3661|same,0
NR_003287_____4|700|diff,1
enhancer__chr8___67585257____67586057_neg|542|same,0
NR_146151_____1|4650|diff,1
NR_146151_____1|11106|diff,1
NR_145819_____1|3701|same,0
NR_145819_____1|11154|diff,1
NR_146117_____1|3710|same,0
NR_146117_____1|11160|diff,1
NR_003287_____4|2686|same,0
ENST00000514318_____1|244|same,0
NR_146146_____1|277|same,0
NR_146151_____1|3685|same,0
NR_145822_____1|3231|diff,1
NR_146117_____1|4829|same,0
ENST00000361381_____2|533|diff,1
NR_146148_____1|1652|diff,1
NR_146148_____1|3220|diff,1
NR_146154_____1|4643|diff,1
NR_046235_____3|11156|diff,1
G087360__chrM___9934____14148_neg|2421|diff,1
NR_146144_____1|3699|diff,1
NR_146144_____1|9558|diff,1
NR_146152_____1|1016|diff,1
NR_146119_____1|1016|diff,1
NR_003286_____4|55|same,0
G087360__chrM___9934____14148_neg|620|same,0
enhancer__chr14___95523357____95535557_neg|1928|same,0
NR_146144_____1|424|same,0
NR_146144_____1|12909|diff,1
NR_146151_____1|9207|same,0
NR_146151_____1|12901|same,0
NR_145819_____1|424|same,0
NR_145819_____1|12945|same,0
NR_145820_____1|55|same,0
NR_146117_____1|1153|diff,1
NR_146117_____1|12963|diff,1
NR_046235_____3|424|same,0
NR_046235_____3|12949|same,0
ENST00000554988_____1|571|diff,1
ENST00000361739_____1|573|same,0
ENST00000361789_____2|86|diff,1
G041621__chr19___50060232____50093425_neg|890|same,0
promoter__chr1___16859531____16861731_pos|704|same,0
enhancer__chr15___41716418____41719818_neg|1374|same,0
enhancer__chr5___181237788____181241988_neg|2875|diff,1
enhancer__chrX___126727855____126730855_neg|1767|same,0
NR_146151_____1|424|same,0
NR_146117_____1|424|same,0
NR_003286_____4|280|same,0
ENST00000586231_____1|1341|same,0
ENST00000626826_____1|113834|diff,1
ENST00000526368_____1|425|same,0
ENST00000309733_____5|8248|same,0
ENST00000359362_____5|1616|diff,1
ENST00000580755_____1|148|same,0
G004418__chr1___145982791____146044553_pos|52932|diff,1
promoter__chr1___16740331____16742331_pos|308|same,0
enhancer__chr16___69357295____69360495_pos|1402|same,0
enhancer__chr11___62853176____62855776_neg|2043|same,0
NR_146144_____1|6664|same,0
NR_146148_____1|4200|same,0
NR_146151_____1|1896|same,0
NR_146151_____1|6652|same,0
NR_146152_____1|58|same,0
NR_146154_____1|1306|same,0
NR_146154_____1|4203|same,0
NR_145819_____1|1897|diff,1
NR_145819_____1|6681|same,0
NR_145819_____1|9248|same,0
NR_145822_____1|698|same,0
NR_145822_____1|1323|same,0
NR_146117_____1|6684|same,0
NR_146117_____1|9254|same,0
NR_146118_____1|1315|same,0
NR_046235_____3|6681|same,0
NR_046235_____3|9235|same,0
NR_003287_____4|4217|same,0
ENST00000379731_____4|913|diff,1
T059327|2806|same,0
G004492__chr1___145982791____146044553_pos|52897|same,0
G087360__chrM___7825____8970_neg|745|same,0
promoter__chr16___3188998____3189998_pos|626|same,0
